uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,facdomain,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,datasource,dataname,dataurl,datadate,pgtable,uid_merged,geom
5412,,,"Big Apple Performing Arts, Inc.",,,676a 9th Avenue,New York,Manhattan,1,10036,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Music,,,,,,,,Non-public,"Big Apple Performing Arts, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
73975,,NYSOMH: 224099-6709-048,Queens Apartment Program - Rego Park,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Jewish Board of Family & Children's Services,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
19842,,,Innovative Theatre Foundation,,,Po Box 2104,New York,Manhattan,1,10108,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Theater,,,,,,,,Non-public,Innovative Theatre Foundation,Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
75636,,NYCHHS: 20151403276,"Ascend Learning, Inc",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,"Ascend Learning, Inc",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
16383,,,Scara Industries Inc,40,S. Merrick Road,40 S. Merrick Road,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Scara Industries Inc,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000070D98706215C52C0F0D5F91958554440
24833,,,Double A Contracting Inc.,78,Sadler Road,78 Sadler Road,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Double A Contracting Inc.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000405F9D79208B52C0706DE51976694440
73631,,NYSOMH: 209099-7720-633,(S4) ICL SH/Emerson Place Brooklyn-Comm.Svcs.,,,,Brooklyn,Brooklyn,3,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Institute for Community Living Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
23765,,,Grid Logistics LLC,100,Manhattan Avenue #617,100 Manhattan Avenue #617,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Grid Logistics LLC,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000098B4FB85778252C0E0C4D90129604440
16615,,,Prima Paving Corp.,1,Burns Avenue,1 Burns Avenue,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Prima Paving Corp.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000006CFC2DE9496252C0F8C8216501624440
75513,,"NYCHHS: CT104020179752498,CT126020161401045,CT126020161401046",Good Shepherd Services,,,,,,,,,,,,,,,,,,Health and Human Services,Human Services,Community Centers and Community School Programs,Community Schools - DOE,,,,,,,,Non-public,Good Shepherd Services,Non-public,NYCDOE: City,NYC Department of Education,NYCDOE,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
75009,,"NYCHHS: CT126020160001984,CT126020161402327,CT126020161404696",Morningside Center For Teaching Social Responsibility Inc.,,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,Comprehensive After School System (COMPASS) Sites,COMPASS Program,,,,,,,,Non-public,Morningside Center For Teaching Social Responsibility Inc.,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
75621,,NYCHHS: 20150000032,Lincoln Square Neighbor Hood Center Inc,,,,,,,,,,,,,,,,,,Health and Human Services,Human Services,Senior Services,Naturally Occurring Retirement Community Senior Services,,,,,,,,Non-public,Lincoln Square Neighbor Hood Center Inc,Non-public,NYCDFTA: City,NYC Department for the Aging,NYCDFTA,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
16516,,,"Jdc Trucking, Inc.",75,Windsor Street,75 Windsor Street,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Jdc Trucking, Inc.",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000A4DAB81BCC8952C08010DF025A614440
22902,,,Wil A Santos-Canales,305,Wanser Avenue,305 Wanser Avenue,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Wil A Santos-Canales,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000004E428E4EA6F52C06014D24FE74E4440
73685,,NYSOMH: 344099-7401-644,PSCH SH PC Long Stay - Kings - Comm. Svcs,,,,Brooklyn,Brooklyn,3,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,PSCH Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
24468,,,"Potanovic & Sons, Inc.",8,Armstrong Ave,8 Armstrong Ave,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Potanovic & Sons, Inc.",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000003BBFDFF5C7752C09EDB4BAF52794440
74088,,NYSOMH: 463099-6841-010,TSINY SP-SRO/Penrod Street,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Transitional Services for New York Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
24283,,,"Socrates Sculpture Park, Inc.",,,P.O. Box 6259,Astoria,Queens,4,11106,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Visual Arts,,,,,,,,Non-public,"Socrates Sculpture Park, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
34360,,NYCDYCD: 40245,Bronxworks,2070,Grand Concourse,2070 Grand Concourse,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Neighborhood Development Area Program,,,,,,,,Non-public,"BronxWorks, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
67732,,,Bronx Children's Museum,,,Po Box 1381,Bronx,Bronx,2,10451,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Museums,Museum,,,,,,,,Non-public,Bronx Children's Museum,Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
73100,,NYSOMH: 102099-7639-001,BFL East 139th Street SP/SRO,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Barrier-Free Living Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73822,,NYSOMH: 000090-8037-002,NCS Residence NY/NY,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Neighborhood Coalition for Shelter Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
16803,,,Lough Conn Inc,172,Fish Road,172 Fish Road,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Lough Conn Inc,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000CC8AED25E28A52C0184EFF981F364540
67317,,NYCDCA: 1435944-DCA,"Laz Parking New York/New Jersey, LLC",97,Dekalb Avenue,97 Dekalb Avenue,Brooklyn,Brooklyn,3,11201,,,,,,,,,,,Core Infrastructure and Transportation,Transportation,Parking Lots and Garages,Commercial Parking Lot,NYCDCA: 155,,NYCDCA: Parking Spaces,,,,,Non-public,"Laz Parking New York/New Jersey, LLC",Non-public,NYCDCA: City,NYC Department of Consumer Affairs,NYCDCA,NYCDCA,NYCDCA: Legally Operating Businesses,NYCDCA: https://data.cityofnewyork.us/Business/Legally-Operating-Businesses/w7w3-xahh,NYCDCA: 2017-05-05,dca_facilities_operatingbusinesses,,0101000020E610000034F6CEDE406153C0859E88A4620E4440
16791,,,"Pedro Teixeira,  Inc. D/B/A T-Mak Services",36,Alpine Place,36 Alpine Place,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Pedro Teixeira,  Inc. D/B/A T-Mak Services",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000064EFE2A27F8952C050D4049F2B634440
73375,,NYSOMH: 344099-7401-649,PSCH Supp Housing/Forensic Bronx SP to PC - Comm Svcs,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,PSCH Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73795,,NYSOMH: 209099-7720-641,(S!) ICL SH/Manhattan - Comm. Svcs.,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Institute for Community Living Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
8169,,NYSDOH: 6564,White Plains Satellite,199,Main Street,199 Main Street,New York,Manhattan,1,10601,,,,,,,,,,,Health and Human Services,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,"St. Josephs Hospital, Yonkers",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2017-05-11,nysdoh_facilities_healthfacilities,,0101000020E610000084B70721207152C0D427B9C326844440
68,,,Ricardo E Brizzi,29,Soloff Blvd,29 Soloff Blvd,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Ricardo E Brizzi,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000098F4C0F1E76F52C0D005C8D8FA4F4440
16239,,,Jose & Sipriano Landscaping,33,Cheshire Road,33 Cheshire Road,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Jose & Sipriano Landscaping,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000000722859117052C0F8B40D04F74F4440
24271,,NYCDOHMH: DC22613,Eladia's  Kids,,,266 A Flatbush Avenue,Brooklyn,Brooklyn,3,11217,,,,,,,,,,,"Education, Child Welfare, and Youth",Child Care and Pre-Kindergarten,Child Care,Group Day Care - Preschool,NYCDOHMH: 42,,NYCDOHMH: Seats Based on Sq Ft,,,,,Non-public,Eladia's Kids Parent LLC,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCDOHMH,NYCDOHMH: DOHMH Childcare Center Inspections,NYCDOHMH: https://data.cityofnewyork.us/Health/DOHMH-Childcare-Center-Inspections/dsg6-ifza,NYCDOHMH: 2017-05-12,dohmh_facilities_daycare,,
6,,,India Street/Greenpoint Ferry Terminal,,,,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Transportation,Ports and Ferry Landings,Ferry Terminal or Landing,,,,,,,,Public,NYC Economic Development Corporation,NYCDOT,NYCDOT: City,NYC Department of Transportation,NYCDOT,NYCDOT,NYCDOT: Facilities Data - Ferry Terminals and Landings,,NYCDOT: 2017-02-23,dot_facilities_ferryterminalslandings,,0101000020E6100000806434402A5B2E4100EA6D69E22C0941
75036,,NYCHHS: 20150000091,West Harlem Group Assistance Inc,,,,,,,,,,,,,,,,,,Health and Human Services,Health Care,Residential Health Care,Supported Housing,,,,,,,,Non-public,West Harlem Group Assistance Inc,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
75029,,NYCHHS: 20150001489,Urban Resource Institute,,,,,,,,,,,,,,,,,,Health and Human Services,Health Care,Other Health Care,Developmental Disabilities Program,,,,,,,,Non-public,Urban Resource Institute,Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
24418,,,"Black Cherry Management Company, LLC D/B/A Empire Waste Brokers",,,Po Box 1524,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,"Black Cherry Management Company, LLC D/B/A Empire Waste Brokers",Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000001CAE5F6ED7BC52C0E88EC738AD214440
16556,,,J. B. Commercial Corp.,262,Dogwood Rd. West,262 Dogwood Rd. West,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,J. B. Commercial Corp.,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E6100000581D982B8D3652C0E837C96B1C614440
4731,,,Rls Transportation LLC,287,Oregon Street,287 Oregon Street,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Rls Transportation LLC,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000078175A059C9152C048AE4709D75B4440
47676,,NYCHHS: CT106820160000936,"Catholic Charities Neighborhood Services, Inc.",,,,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Child Services and Welfare,"Preventative Care, Evaluation Services, and Respite",General Preventive Care,,,,,,,,Non-public,"Catholic Charities Neighborhood Services, Inc.",Non-public,NYCACS: City,NYC Administration for Childrens Services,NYCACS,NYCHHS,NYCHHS: HHS Accelerator - Financials Contracts,,NYCHHS: 2016-07-26,hhs_facilities_financialscontracts,,
19500,,,"Stages on the Sound, Inc.",,,P.O. Box 24371,Brooklyn,Brooklyn,3,11202,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,Theater,,,,,,,,Non-public,"Stages on the Sound, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
24041,,,"Piper Theatre Productions, Inc.",,,Po Box 156013,Brooklyn,Brooklyn,3,11215,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,"Multi-Discipline, Performing",,,,,,,,Non-public,"Piper Theatre Productions, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
16730,,,White Wolf Industries,1253,St. Johnland Rd,1253 St. Johnland Rd,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,White Wolf Industries,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E610000070E59C12154E52C0A85FC84D9D704440
4944,,,"1687, Inc.",,,Po Box 1000,New York,Manhattan,1,10014,,,,,,,,,,,Libraries and Cultural Programs,Cultural Institutions,Other Cultural Institutions,"Multi-Discipline, Performing",,,,,,,,Non-public,"1687, Inc.",Non-public,NYCDCLA: City,NYC Department of Cultural Affairs,NYCDCLA,NYCDCLA,NYCDCLA: DCLA Cultural Organizations,NYCDCLA: https://data.cityofnewyork.us/Recreation/DCLA-Cultural-Organizations/u35m-9t32,NYCDCLA: 2017-04-07,dcla_facilities_culturalinstitutions,,
73783,,NYSOMH: 716099-7296-001,Goddard West 140th Street - SP/SRO,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Goddard Riverside Community Center,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73942,,NYSOMH: 514099-8032-647,Fed of Org Supp Housing/Forensic Manhatt SPPCSH - Comm Svcs,,,,,Queens,4,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Federation of Org. f/t NYS Ment.Disabled Inc,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
73453,,NYSOMH: 172099-7385-631,GEEL Scattered Supported Housing/Bronx - Comm. Svcs,,,,Bronx,Bronx,2,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,GEEL Community Services Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
24231,,NYCDYCD: 39610,Henkels & Mccoy (Citywide),31-00,47th Ave.,31-00 47th Ave.,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,Eckerd Youth Alternatives,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
75032,,"NYCHHS: 20150001097,20150001171,20150001202","Services For The Underserved, Inc.",,,,,,,,,,,,,,,,,,Health and Human Services,Health Care,Residential Health Care,Supported Housing,,,,,,,,Non-public,"Services For The Underserved, Inc.",Non-public,NYCDOHMH: City,NYC Department of Health and Mental Hygiene,NYCDOHMH,NYCHHS,NYCHHS: Financial Management System - Human Services Contracts,,NYCHHS: 2016-07-26,hhs_facilities_fmscontracts,,
24340,,NYCDYCD: 29874,Information Technology High School (Q502),21-16,44TH ROAD,21-16 44TH ROAD,,,,,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,"Jacob A. Riis Neighborhood Settlement, Inc.",Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCDYCD,NYCDYCD: DYCD Other Program Locations,,NYCDYCD: 2016-12-19,dycd_facilities_otherprograms,,
72239,,NYSOMH: 109099-7422-433,Access House,,,,New York,Manhattan,1,,,,,,,,,,,,Health and Human Services,Health Care,Mental Health,Residential Mental Health,,,,,,,,Non-public,Community Access Inc.,Non-public,NYSOMH: State,NYS Office of Mental Health,NYSOMH,NYSOMH,NYSOMH: Local Mental Health Programs,NYSOMH: https://data.ny.gov/Human-Services/Local-Mental-Health-Programs/6nvr-tbv8,NYSOMH: 2017-05-05,nysomh_facilities_mentalhealth,,
60610,,NYCHHS: 4363,P.S. 84 Jose De Diego,250,Berry Street,250 Berry Street,Brooklyn,Brooklyn,,11211,,,,,,,,,,,"Education, Child Welfare, and Youth",Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program,,,,,,,,Non-public,Grand Street Settlement Inc.,Non-public,NYCDYCD: City,NYC Department of Youth and Community Development,NYCDYCD,NYCHHS,NYCHHS: HHS Accelerator - Selected Proposals,,NYCHHS: 2016-07-26,hhs_facilities_proposals,,
16648,,,Jorge H Ll Trucking LLC,160,Watchung Avenue,160 Watchung Avenue,,,,,,,,,,,,,,,Core Infrastructure and Transportation,Solid Waste,Solid Waste Transfer and Carting,Trade Waste Carter Site,,,,,,,,Non-public,Jorge H Ll Trucking LLC,Non-public,NYCBIC: City,NYC Business Integrity Commission,NYCBIC,NYCBIC,NYCBIC: Approved licensees and registrants for trade waste,NYCBIC: https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,NYCBIC: 2016-08-27,bic_facilities_tradewaste,,0101000020E61000000CA581486D9B52C04884FA2DD24F4440
